event_id|programme_id|artiste_id|image_url|alt|credit|licence|notes
E100|||https://www.le-taquin.fr/site/wp-content/uploads/2026/07/04-09-2026_SITE_VISUEL-Arthur-Guyard.png|LE TAQUIN FETE SES 10 ANS #1 — Le Taquin|Le Taquin (le-taquin.fr)|Droits réservés — usage éditorial source lieu|Visuel page programmation ; 2000×1104 landscape ; HTTPS 200
E101|||https://www.le-taquin.fr/site/wp-content/uploads/2026/07/05-09-2026_Taquin_site_2048x1365_3.jpg|LE TAQUIN FETE SES 10 ANS #2 — Le Taquin|Le Taquin (le-taquin.fr)|Droits réservés — usage éditorial source lieu|Visuel page programmation ; 1920×1005 landscape ; HTTPS 200
E102|||https://www.le-taquin.fr/site/wp-content/uploads/2026/07/09-09-2026_Taquin_site_2048x1365_3.jpg|JAM#1 en mixité choisie — Le Taquin|Le Taquin (le-taquin.fr)|Droits réservés — usage éditorial source lieu|Visuel page programmation ; 1920×1005 landscape ; HTTPS 200
E103|||https://www.le-taquin.fr/site/wp-content/uploads/2026/07/10-09-2026_Taquin_site_2048x1365.jpg|datziraGrain présente ECHO JAZZ — Le Taquin|Le Taquin (le-taquin.fr)|Droits réservés — usage éditorial source lieu|Visuel page programmation ; 1920×1005 landscape ; HTTPS 200
E104|||https://www.le-taquin.fr/site/wp-content/uploads/2026/07/12-09-2026_Taquin_site_2048x1365.jpg|CHELABÔM — Le Taquin|Le Taquin (le-taquin.fr)|Droits réservés — usage éditorial source lieu|Visuel page programmation ; 1920×1005 landscape ; HTTPS 200
E105|||https://www.le-taquin.fr/site/wp-content/uploads/2026/07/12-09-2026-_Taquin_site_2048x1365.jpg|DELI ZIRZOP — Le Taquin|Le Taquin (le-taquin.fr)|Droits réservés — usage éditorial source lieu|Visuel page programmation ; 1920×1005 landscape ; HTTPS 200
E106|||https://www.le-taquin.fr/site/wp-content/uploads/2026/07/16-09-2026_SITE-TAQUIN_TEMPLATE_2048x1365.jpg|TABANAR — Le Taquin|Le Taquin (le-taquin.fr)|Droits réservés — usage éditorial source lieu|Visuel page programmation ; 1920×1005 landscape ; HTTPS 200
E107|||https://www.le-taquin.fr/site/wp-content/uploads/2026/07/17-09-2026_SITE-TAQUIN_TEMPLATE_2048x1365.jpg|FEELING THE SPIRIT OF GRANT GREEN — Le Taquin|Le Taquin (le-taquin.fr)|Droits réservés — usage éditorial source lieu|Visuel page programmation ; 1920×1005 landscape ; HTTPS 200
E108|||https://www.le-taquin.fr/site/wp-content/uploads/2026/07/18-09-2026_SITE-TAQUIN_TEMPLATE_2048x1365.jpg|La Mòssa + Sollùna - FESTIVAL OCCITANIA — Le Taquin|Le Taquin (le-taquin.fr)|Droits réservés — usage éditorial source lieu|Visuel page programmation ; 1920×1005 landscape ; HTTPS 200
E109|||https://www.le-taquin.fr/site/wp-content/uploads/2026/07/19-09-2026_SITE-TAQUIN_TEMPLATE_2048x1365.jpg|Irina González JAM LATINA #2 Destination Brésil ! — Le Taquin|Le Taquin (le-taquin.fr)|Droits réservés — usage éditorial source lieu|Visuel page programmation ; 1920×1005 landscape ; HTTPS 200
E110|||https://www.le-taquin.fr/site/wp-content/uploads/2026/07/23-09-2026_SITE-TAQUIN_TEMPLATE_2048x1365.jpg|Valentin POMMERAY TRIO — Le Taquin|Le Taquin (le-taquin.fr)|Droits réservés — usage éditorial source lieu|Visuel page programmation ; 1920×1005 landscape ; HTTPS 200
E017|||https://lemetronum.fr/wp-content/uploads/2026/07/DSC01423_FINAL-1-scaled.jpg|Juliette Magnevasoa — Concert sortie de résidence WMA — Le Metronum|Le Metronum (lemetronum.fr)|Droits réservés — usage éditorial source lieu|og:image page Juliette Magnevasoa (scaled) ; 1707×2560 portrait ; HTTPS 200
E018|||https://static.wixstatic.com/media/8b6b1e_93352aad735f46099392258dac30c344~mv2.jpg|Despechadas Night — Le Bijou|Le Bijou (le-bijou.net / Wix)|Droits réservés — usage éditorial source lieu|Visuel Despechadas Night homepage ; 1080×1080 square ; HTTPS 200
E018b|||https://static.wixstatic.com/media/8b6b1e_8b38ce48401743f8a81fb736664449c9~mv2.jpg|Soirées Bijou (9 et 10 septembre) — Le Bijou|Le Bijou (le-bijou.net / Wix)|Droits réservés — usage éditorial source lieu|Photo lieu (pas d’affiche dédiée titres 9–10 sept.) ; 4032×3024 landscape ; HTTPS 200
E494|||https://www.lephemereguinguette.com/wp-content/uploads/2026/05/36A90C14-38C7-491E-A04E-04A4FED2D61B_4_5005_c.jpeg|Tu Luz Habana — musique cubaine / salsa — L’Éphémère (Lacroix-Falgarde)|L'Éphémère Guinguette (lephemereguinguette.com)|Droits réservés — usage éditorial source lieu|Photo page événement Tu Luz Habana (event=6180) ; 480×360 landscape seuil min. ; HTTPS 200
E495|||https://www.lephemereguinguette.com/wp-content/uploads/2026/04/Moher.jpg|Moher — musique celtique / irlandaise — L’Éphémère (Lacroix-Falgarde)|L'Éphémère Guinguette (lephemereguinguette.com)|Droits réservés — usage éditorial source lieu|Visuel Moher page événement (event=6158) ; 800×800 square ; HTTPS 200
E496|||https://www.lephemereguinguette.com/wp-content/uploads/2026/04/Cuarteto-Tafi-2.jpg|Cuarteto Tafi — musique d’Argentine — L’Éphémère (Lacroix-Falgarde)|L'Éphémère Guinguette (lephemereguinguette.com)|Droits réservés — usage éditorial source lieu|Visuel Cuarteto Tafi page événement (event=6161) ; 754×502 landscape ; HTTPS 200
E497|||https://www.brasseur-toulousain.fr/wp-content/uploads/2026/07/site-internet-.png|LEON Show Man — Soul & Funk — Guinguette du BBT (Cornebarrieu)|Guinguette du BBT / Brasseur Toulousain (brasseur-toulousain.fr)|Droits réservés — usage éditorial source lieu|Affiche site 2026 (LEON) page Guinguette BBT ; 7402×10456 portrait ; HTTPS 200
EHG010|||https://cdt31.media.tourinsoft.eu/upload/wonder-brass-quartet.jpg|Wonder Brass Quartet — concert (Journées du Patrimoine) — Archives départementales de la Haute-Garonne|Haute-Garonne Tourisme / Tourinsoft|Droits réservés — usage éditorial source lieu|Visuel Wonder Brass Quartet Tourinsoft (archives HG Anubis) ; 810×650 landscape ; HTTPS 200
EHG012|||https://www.comdt.org/wp-content/uploads/2026/06/EVENT-SITE-3.jpg|Bal des étudiants CRR/COMDT (Journées du Patrimoine) — COMDT (Centre occitan des musiques et danses traditionnelles)|COMDT (comdt.org)|Droits réservés — usage éditorial source lieu|Visuel JEP / portes ouvertes COMDT (même journée Bal étudiants) ; 1180×750 landscape ; HTTPS 200
EHG013|||https://www.comdt.org/wp-content/uploads/2026/06/EVENT-SITE-3.jpg|Concert / sortie de résidence — Tolosa Trobadors — COMDT (Centre occitan des musiques et danses traditionnelles)|COMDT (comdt.org)|Droits réservés — usage éditorial source lieu|og/JSON-LD page sortie de résidence Tolosa Trobadors ; 1180×750 landscape ; HTTPS 200
EHG009|||https://cdn.openagenda.com/main/833e74e637154bb9a0fcbb23e400a110.base.image.jpg|Concert — Bonjour Au Revoir (Beatles) — Café associatif Le Buv'Art|Café associatif Le Buv'Art / OpenAgenda|Droits réservés — usage éditorial source lieu|Image OpenAgenda CONCERT Bonjour Au Revoir ; 700×836 portrait ; HTTPS 200
E008|||https://monuments.toulouse.fr/wp-content/uploads/sites/14/2026/06/image00001-1-scaled.jpeg|Guinguette estivale Couvent des Jacobins — Couvent / Cloître des Jacobins|Toulouse Métropole — Monuments (monuments.toulouse.fr)|Droits réservés — usage éditorial source lieu|og:image saison musicale / guinguette Jacobins ; 2560×1600 landscape ; HTTPS 200
E579|||https://s3.eu-west-3.amazonaws.com/content-tmcsi-prod-secutix-jfrr5x67/images/catalog/product/large/d34bc343-bea6-4b1f-b686-e73fbe860fc9.jpg|Soif d'adrénaline, le projet pirate — Centre culturel Espace JOB|Centres culturels Toulouse / Secutix|Droits réservés — usage éditorial source lieu|Product large Secutix Soif d'adrénaline ; 800×800 square ; HTTPS 200
