event_id|programme_id|image_url|alt|credit|licence
E047||https://lesjardinsdecandie.com/wp-content/uploads/2024/05/Groupe-93-1.png|Les Jardins de Candie — saison guinguette|Les Jardins de Candie (lesjardinsdecandie.com)|Droits réservés — usage éditorial source lieu
E628||https://iris-guinguette.vercel.app/images/TABLE3.webp|Iris Guinguette — Jardin Michelet|Iris Guinguette (iris-guinguette.vercel.app)|Droits réservés — usage éditorial source lieu
E629||https://turbine-bazacle.fr/wp-content/uploads/2022/05/turbine-bazacle.jpg|Turbine Bazacle — saison terrasse|Turbine Bazacle (turbine-bazacle.fr)|Droits réservés — usage éditorial source lieu
E631||https://www.museaumusette.fr/i/museau-musette/3/5/8/1/5/2/1/5/3/2/4/7/4/1727351699_395/7729ebc4d961d1446e6276c00551fc95.small_original.jpg|Museau Musette — Canal du Midi|Museau Musette (museaumusette.fr / Zenchef)|Droits réservés — usage éditorial source lieu
E632||https://chezmollycoteguinguette.fr/wp-content/uploads/Repas-de-groupe-Chez-Molly-Guinguette-Toulouse-Montaudran-scaled-e1719496384374.jpg|Chez Molly Côté Guinguette — Montaudran|Chez Molly Côté Guinguette (chezmollycoteguinguette.fr)|Droits réservés — usage éditorial source lieu
E671||https://static.wixstatic.com/media/fe15f3_c0101df92e4a4b39890c6119e8c919ae~mv2.jpg|Guinguette de Tournefeuille|Guinguette de Tournefeuille (guinguettetournefeuille.fr / Wix)|Droits réservés — usage éditorial source lieu
E637||https://www.brasseur-toulousain.fr/wp-content/uploads/2024/03/PHOTO_GUINGUETTE_2-1024x941.jpeg|Guinguette du BBT — Cornebarrieu|Brasseur Toulousain (brasseur-toulousain.fr)|Droits réservés — usage éditorial source lieu
E023||https://cdn.sanity.io/images/rf3cqo3h/production/1270acc7c6e8b1c72960cfef0c1b4c2c1a971634-1320x900.png|Petit Bikini — Quiz ciné — Le Petit Bikini|Le Bikini / Sanity CDN (lebikini.com)|Droits réservés — usage éditorial source lieu
E325||https://www.grand-rond.org/userfiles/bandeau-site-26-278.jpg|Réouverture billetterie — Théâtre du Grand Rond|Théâtre du Grand Rond (grand-rond.org)|Droits réservés — usage éditorial source lieu
E350||https://www.theatredelaviolette.com/visuels/225-aff-%C3%A0%20l27%C3%A9cole_zo%C3%A9_page-0001.jpg|À l’école Zoé ! — Théâtre de la Violette|Théâtre de la Violette (theatredelaviolette.com)|Droits réservés — usage éditorial source lieu
E024||https://cdn.sanity.io/images/rf3cqo3h/production/8a0435aabdca4d46e533fa123f789d3f45c54219-1320x900.png|Petit Bikini — Apéro 70's — Le Petit Bikini|Le Bikini / Sanity CDN (lebikini.com)|Droits réservés — usage éditorial source lieu
E013||https://www.lesabattoirs.org/wp-content/uploads/2021/08/activites-jp-1000x0-c-default.jpeg|Stage enfants vacances d’été — Les Abattoirs|Les Abattoirs (lesabattoirs.org)|Droits réservés — usage éditorial source lieu
E019||https://images.xceed.me/events/banners/bakermat-x-poney-club-2026-toulouse-xceed-square-99fb.png|Poney Club — Bakermat|Poney Club / Xceed (images.xceed.me)|Droits réservés — usage éditorial source lieu
E191||https://cdt31.media.tourinsoft.eu/upload/FESTIVAL-RASSEMBLEES.jpg|Festival Rassemblées 2026 — Nouveau Théâtre Jules Julien|Toulouse Tourisme / Tourinsoft (toulouse-tourisme.com)|Droits réservés — usage éditorial source lieu
E001||https://rosefestival.fr/wp-content/themes/rosefestival-2026/assets/img/meta.jpg|Rose Festival 2026 — MEETT|Rose Festival (rosefestival.fr)|Droits réservés — usage éditorial source lieu
E025||https://cdn.sanity.io/images/rf3cqo3h/production/9e4279de9e6a40c7c7ee5ed2580cebfa3bb45b0d-1320x900.png|Petit Bikini — Apéro 90's — Le Petit Bikini|Le Bikini / Sanity CDN (lebikini.com)|Droits réservés — usage éditorial source lieu
E020||https://images.xceed.me/events/banners/lost-frequencies-x-poney-club-2026-toulouse-xceed-square-a9e2.png|Poney Club — Lost Frequencies|Poney Club / Xceed (images.xceed.me)|Droits réservés — usage éditorial source lieu
E022||https://cdn.sanity.io/images/rf3cqo3h/production/fa3c9afdd1d9bf7fb34f16f32fe3323802d4cb5e-1320x900.png|After Officiel RAMPAGE — Le Bikini|Le Bikini / Sanity CDN (lebikini.com)|Droits réservés — usage éditorial source lieu
EHG002||https://cdt31.media.tourinsoft.eu/upload/BUZET---compagnie-atao--Antoine-Bassaler.jpg?width=1200&height=630&crop=1|31 notes d'été — Buzet-sur-Tarn — La Promenade|Haute-Garonne Tourisme / Tourinsoft (hautegaronnetourisme.com)|Droits réservés — usage éditorial source lieu
EHG001||https://www.ville-pechbonnieu.fr/wp-content/uploads/2024/06/31-notes.png|31 notes d'été — Pechbonnieu — Esplanade de la Mairie|Ville de Pechbonnieu (ville-pechbonnieu.fr)|Droits réservés — usage éditorial source lieu
E351||https://www.theatredelaviolette.com/visuels/441-aff-LA%20bulle%20new%20logo.jpg|La Bulle — Théâtre de la Violette|Théâtre de la Violette (theatredelaviolette.com)|Droits réservés — usage éditorial source lieu
E352||https://www.theatredelaviolette.com/visuels/442-aff-affiche.PNG|Rita déménage — Théâtre de la Violette|Théâtre de la Violette (theatredelaviolette.com)|Droits réservés — usage éditorial source lieu
E046||https://www.cave-poesie.com/wp-content/uploads/2026/08/Diaporama-site-4.jpg|Présentation de saison 2026-2027 — Cave Poésie René-Gouzenne|Cave Poésie René-Gouzenne (cave-poesie.com)|Droits réservés — usage éditorial source lieu
E009||https://pianojacobins.com/wp-content/uploads/2026/04/affiche-festival-piano-jacobins-2026-3.jpg|Festival Piano aux Jacobins 2026 — Cloître des Jacobins|Piano aux Jacobins (pianojacobins.com)|Droits réservés — usage éditorial source lieu
E609||https://s3.eu-west-3.amazonaws.com/content-tmcsi-prod-secutix-jfrr5x67/images/catalog/product/large/2a60f6a6-cf16-40a0-b4cd-ae0add1379e3.png|Moutons — Centre culturel Renan|Centres culturels Toulouse / Secutix (centresculturels.toulouse.fr)|Droits réservés — usage éditorial source lieu
E719||https://theatredepochetoulouse.fr/wp-content/uploads/2026/08/affiche-theatre-de-poche-2026.jpg|Et pendant ce temps, Simone veille — Théâtre de Poche|Théâtre de Poche (theatredepochetoulouse.fr)|Droits réservés — usage éditorial source lieu
E353||https://www.theatredelaviolette.com/visuels/443-aff-Affiche%20MMT%20Jeune%20public.png|Les murmures de la Terre — Théâtre de la Violette|Théâtre de la Violette (theatredelaviolette.com)|Droits réservés — usage éditorial source lieu
E481||https://www.greniertheatre.org/wp-content/uploads/2026/05/Head-ACTEUR-.jpg|Acteur — Le Grenier Théâtre|Le Grenier Théâtre (greniertheatre.org)|Droits réservés — usage éditorial source lieu
EHG005||https://festivalramonville-arto.fr/public/images/spectacle/1494/houriaa.jpg|Préambule Festival de rue de Ramonville — Bagatelle — Houriaa|Festival ARTO / Ramonville (festivalramonville-arto.fr)|Droits réservés — usage éditorial source lieu
E060||https://www.theatredupontneuf.fr/wp-content/uploads/2026/05/Design-sans-titre-1.png|Tentative de Réunification Coréenne par l'Amour, la Caresse… et l'Argent — Théâtre du Pont Neuf|Théâtre du Pont Neuf (theatredupontneuf.fr)|Droits réservés — usage éditorial source lieu
E634||https://theatredepochetoulouse.fr/wp-content/uploads/2026/07/2026-09-10.png|Transit — Théâtre de Poche|Théâtre de Poche (theatredepochetoulouse.fr)|Droits réservés — usage éditorial source lieu
EHG006||https://festivalramonville-arto.fr/public/images/spectacle/1476/sax-machines-c-helene-nugnes.jpg|Préambule Festival de rue de Ramonville — Labège — Sax Machines|Festival ARTO / Ramonville (festivalramonville-arto.fr)|Droits réservés — usage éditorial source lieu
E320||https://www.theatre-sorano.fr/wp-content/uploads/2026/05/1300x780-1-Briac-Durand.jpg|Nous sommes des filles sans histoire — Théâtre Sorano|Théâtre Sorano / crédit Briac Durand (theatre-sorano.fr)|Droits réservés — usage éditorial source lieu
E635||https://theatredepochetoulouse.fr/wp-content/uploads/2026/07/2026-09-11.jpg|Amareia en concert — Théâtre de Poche|Théâtre de Poche (theatredepochetoulouse.fr)|Droits réservés — usage éditorial source lieu
E482||https://www.greniertheatre.org/wp-content/uploads/2026/05/photo-DEMOISELLES.jpeg|Les Demoiselles du Parc – 1914 — Le Grenier Théâtre|Le Grenier Théâtre (greniertheatre.org)|Droits réservés — usage éditorial source lieu
E014||https://www.lesabattoirs.org/wp-content/uploads/2026/02/biomimetisme-expo-1920x0-c-default.jpg|Visite guidée — secrets d'un accrochage — Les Abattoirs|Les Abattoirs (lesabattoirs.org)|Droits réservés — usage éditorial source lieu
EHG007||https://festivalramonville-arto.fr/public/images/cover/BANNIERE_feu.jpg|Festival de rue de Ramonville 2026 — Le Kiwi (ARTO)|Festival ARTO / Ramonville (festivalramonville-arto.fr)|Droits réservés — usage éditorial source lieu
E181||https://www.theatregaronne.com/sites/default/files/2026-06/cqv-3-pierre-etranger.JPG|Celui qui voit — Théâtre Garonne|Théâtre Garonne / crédit Pierre Étranger (theatregaronne.com)|Droits réservés — usage éditorial source lieu
E636||https://theatredepochetoulouse.fr/wp-content/uploads/2026/07/2026-09-12.png|L’Érable de la Fontaine — Théâtre de Poche|Théâtre de Poche (theatredepochetoulouse.fr)|Droits réservés — usage éditorial source lieu
E529||https://laplacedeladanse.com/images/illustrations_fr/illu_page_1364T2.jpg?v=20260720140728|Dans la forêt / À la lisière — La Place de la Danse|La Place de la Danse CDCN (laplacedeladanse.com)|Droits réservés — usage éditorial source lieu
E015||https://www.lesabattoirs.org/wp-content/uploads/2026/07/signo-agenda.jpg|Festival Sign’Ô — Village sur le parvis — Les Abattoirs|Les Abattoirs (lesabattoirs.org)|Droits réservés — usage éditorial source lieu
E010||https://theatrelefilaplomb.fr/wp-content/uploads/2026/07/presentation-saison-26-27.png|Présentation de saison 2026-2027 — Théâtre le Fil à Plomb|Théâtre Le Fil à plomb (theatrelefilaplomb.fr)|Droits réservés — usage éditorial source lieu
E542||https://metropole.toulouse.fr/sites/toulouse-fr/files/2022-08/centre_culturel_bellegarde.jpg|Prenez Garde — Centre culturel Bellegarde|Toulouse Métropole / Centre culturel Bellegarde (metropole.toulouse.fr)|Droits réservés — usage éditorial source lieu
E589||https://s3.eu-west-3.amazonaws.com/content-tmcsi-prod-secutix-jfrr5x67/images/catalog/product/large/dba0af57-a83d-44f4-9887-9aeae937f284.jpg|Bal Oc-Chaâbi / Fête de la rentrée — Centre culturel La Brique Rouge|Centres culturels Toulouse / Secutix (centresculturels.toulouse.fr)|Droits réservés — usage éditorial source lieu
E616||https://s3.eu-west-3.amazonaws.com/content-tmcsi-prod-secutix-jfrr5x67/images/catalog/product/large/5c71273f-2285-4726-b7c1-117bbae0abf1.jpg|Akousmaflore - Visite Flash — Centre culturel Soupetard|Centres culturels Toulouse / Secutix|Droits réservés — usage éditorial source lieu
E623||https://metropole.toulouse.fr/sites/toulouse-fr/files/2022-08/maison_citoyennete_reynerie.jpg|Les ailes du lac — Centre culturel Reynerie|Toulouse Métropole / Centre culturel Reynerie (metropole.toulouse.fr)|Droits réservés — usage éditorial source lieu
E398||https://theatrelefilaplomb.fr/wp-content/uploads/2026/07/1000151658.jpg|Le Pays des sons — Théâtre le Fil à Plomb|Théâtre Le Fil à plomb (theatrelefilaplomb.fr)|Droits réservés — usage éditorial source lieu
E720||https://theatredepochetoulouse.fr/wp-content/uploads/2026/07/2026-09-16-17.png|Les Dents du Rire — Théâtre de Poche|Théâtre de Poche (theatredepochetoulouse.fr)|Droits réservés — usage éditorial source lieu
E354||https://www.theatredelaviolette.com/visuels/394-aff-Affiche%20Originale%20%28A4%29.jpg|La Fée des Fleurs et le Jardin Magique — Théâtre de la Violette|Théâtre de la Violette (theatredelaviolette.com)|Droits réservés — usage éditorial source lieu
E569||https://s3.eu-west-3.amazonaws.com/content-tmcsi-prod-secutix-jfrr5x67/images/catalog/product/large/bf4920c6-9546-41d8-9cf2-9f1e252f9e7d.jpg|Comme si nous… L’Assemblée des clairières — Théâtre des Mazades|Centres culturels Toulouse / Secutix (centresculturels.toulouse.fr)|Droits réservés — usage éditorial source lieu
EHG008||https://data.by-night.fr/uploads/documents/2026/08/01/566c884dc6764451be83fc5698dd77c0-full-image-6a6d7080a7ad7629026599.jpg|Lancement de la saison culturelle départementale — Espace Roguet|Espace Roguet / CD31 via by-night.fr|Droits réservés — usage éditorial source lieu
E098||https://www.lacomediedetoulouse.com/media/data/spectacles/images/affiche-302_16.jpg|Impro Late Show — La Troupe de Trio d'Impro — La Comédie de Toulouse|La Comédie de Toulouse (lacomediedetoulouse.com)|Droits réservés — usage éditorial source lieu
E370||https://www.lacomediedetoulouse.com/media/data/spectacles/images/affiche-302_16.jpg|Impro Late Show — La Troupe de Trio d'Impro — La Comédie de Toulouse|La Comédie de Toulouse (lacomediedetoulouse.com)|Droits réservés — usage éditorial source lieu
E399||https://theatrelefilaplomb.fr/wp-content/uploads/2026/07/Logo-Souk-Ace-Dance-One-Man-Band.png|One Man Band — Souk Ace Dance — Théâtre le Fil à Plomb|Théâtre Le Fil à plomb (theatrelefilaplomb.fr)|Droits réservés — usage éditorial source lieu
E400||https://theatrelefilaplomb.fr/wp-content/uploads/2026/07/1000003784-scaled.jpg|Vernissage Prune — Théâtre le Fil à Plomb|Théâtre le Fil à Plomb (theatrelefilaplomb.fr)|Droits réservés — usage éditorial source lieu
E483||https://www.greniertheatre.org/wp-content/uploads/2026/04/Header-Huis-Clos-e1777549146201.jpg|Huis Clos — Le Grenier Théâtre|Le Grenier Théâtre (greniertheatre.org)|Droits réservés — usage éditorial source lieu
E034||https://www.cinemalecratere.fr/images/stories/films/Fifigrot-2026_post-1080x1350px.jpg|FIFIGROT 2026 au Cratère — Le Cratère|Le Cratère / FIFIGROT (cinemalecratere.fr)|Droits réservés — usage éditorial source lieu
E551||https://s3.eu-west-3.amazonaws.com/content-tmcsi-prod-secutix-jfrr5x67/images/catalog/product/large/7d1cc2b7-c263-4a67-ac72-c6003f653acd.jpg|Murmures avec Princess OG — Centre culturel Saint-Cyprien|Centres culturels Toulouse / Secutix|Droits réservés — usage éditorial source lieu
E608||https://s3.eu-west-3.amazonaws.com/content-tmcsi-prod-secutix-jfrr5x67/images/catalog/product/large/fc9c8f2d-7123-45a5-8316-e2c59b77d9ba.jpg|DÉCHARGE. — Centre culturel Renan|Centres culturels Toulouse / Secutix (centresculturels.toulouse.fr)|Droits réservés — usage éditorial source lieu
E301||https://cdn.openagenda.com/main/122275e848ba481381adcf407526e8ce.full.image.jpg|Conférence Rusalka — Jules Bigey — Théâtre du Capitole|Théâtre du Capitole / OpenAgenda (opera.toulouse.fr)|Droits réservés — usage éditorial source lieu
E393||https://www.cave-poesie.com/wp-content/uploads/2026/07/Affiche_A3_NO_FP_page-0001.jpg|Chez René 2026 — Lever de rideau — Cave Poésie René-Gouzenne|Cave Poésie René-Gouzenne (cave-poesie.com)|Droits réservés — usage éditorial source lieu
E074||https://www.lacomediedetoulouse.com/media/data/spectacles/images/affiche-756_4.jpg|Burlesk — Les Demoiselles du K-Barré — La Comédie de Toulouse|La Comédie de Toulouse (lacomediedetoulouse.com)|Droits réservés — usage éditorial source lieu
E371||https://www.lacomediedetoulouse.com/media/data/spectacles/images/affiche-756_4.jpg|Burlesk — Les Demoiselles du K-Barré — La Comédie de Toulouse|La Comédie de Toulouse (lacomediedetoulouse.com)|Droits réservés — usage éditorial source lieu
E638||https://theatredepochetoulouse.fr/wp-content/uploads/2026/07/2026-09-18.png|Le Cœur battant — Théâtre de Poche|Théâtre de Poche (theatredepochetoulouse.fr)|Droits réservés — usage éditorial source lieu
E610||https://s3.eu-west-3.amazonaws.com/content-tmcsi-prod-secutix-jfrr5x67/images/catalog/product/large/a1fe7959-baa1-4d95-b37d-b2f9564b238b.png|Le Centre culturel de Jean Montariol — Centre culturel Renan|Centres culturels Toulouse / Secutix|Droits réservés — usage éditorial source lieu
E311||https://theatre-cite.com/assets/uploads/2026/06/TC-26-27_ECRANS_mac-2048x1280.jpg|Journées Européennes du Patrimoine — Théâtre de la Cité|Théâtre de la Cité CDN (theatre-cite.com)|Droits réservés — usage éditorial source lieu
E394||https://www.cave-poesie.com/wp-content/uploads/2026/07/Affiche_A3_NO_FP_page-0001.jpg|Chez René 2026 — Bazar littéraire — Cave Poésie René-Gouzenne|Cave Poésie René-Gouzenne (cave-poesie.com)|Droits réservés — usage éditorial source lieu
E321||https://www.theatre-sorano.fr/wp-content/uploads/2026/05/1300x780-3P0A6467.jpg|Tu viens voir mon patrimoine ? — Théâtre Sorano|Théâtre Sorano (theatre-sorano.fr)|Droits réservés — usage éditorial source lieu
E072||https://www.lacomediedetoulouse.com/media/data/spectacles/images/affiche-763_11.jpg|Bérengère Krief — Sexe — La Comédie de Toulouse|La Comédie de Toulouse (lacomediedetoulouse.com)|Droits réservés — usage éditorial source lieu
E372||https://www.lacomediedetoulouse.com/media/data/spectacles/images/affiche-763_11.jpg|Bérengère Krief — Sexe — La Comédie de Toulouse|La Comédie de Toulouse (lacomediedetoulouse.com)|Droits réservés — usage éditorial source lieu
E639||https://theatredepochetoulouse.fr/wp-content/uploads/2026/07/2026-09-19.png|Divagueries sentimentales — Théâtre de Poche|Théâtre de Poche (theatredepochetoulouse.fr)|Droits réservés — usage éditorial source lieu
E530||https://laplacedeladanse.com/images/illustrations_fr/illu_page_1365T2.jpg|On fait pas d'omelette sans casser des œufs — La Place de la Danse|La Place de la Danse CDCN (laplacedeladanse.com)|Droits réservés — usage éditorial source lieu
E016||https://www.lesabattoirs.org/wp-content/uploads/2026/08/agenda-jep2026-1000x0-c-default.jpg|Journées européennes du patrimoine — Les Abattoirs|Les Abattoirs (lesabattoirs.org)|Droits réservés — usage éditorial source lieu
E027||https://cdt31.media.tourinsoft.eu/upload/Convention-Toulouse-3-copie.jpg|27e Convention du disque de Toulouse — Le Bikini|Toulouse Tourisme / Tourinsoft (toulouse-tourisme.com)|Droits réservés — usage éditorial source lieu
EHG011||https://cdt31.media.tourinsoft.eu/upload/SUSPEND-S.jpg|Suspend's — Archives départementales de la Haute-Garonne|Haute-Garonne Tourisme / Tourinsoft|Droits réservés — usage éditorial source lieu
E184||https://www.leventdessignes.fr/wp-content/uploads/2026/08/VDS-ouverture-vignette-insta-1.jpg|Présentation Saison 26/27 — Le Vent des Signes|Théâtre le Vent des Signes (leventdessignes.fr)|Droits réservés — usage éditorial source lieu
E300||https://cdn.openagenda.com/main/122275e848ba481381adcf407526e8ce.base.image.jpg|Rusalka — Théâtre du Capitole|Opéra national du Capitole / OpenAgenda|Droits réservés — usage éditorial source lieu
E531||https://laplacedeladanse.com/images/illustrations_fr/illu_page_1449T2.jpg|Présentation saison 2026-2027 — La Place de la Danse|La Place de la Danse CDCN (laplacedeladanse.com)|Droits réservés — usage éditorial source lieu
E578||https://s3.eu-west-3.amazonaws.com/content-tmcsi-prod-secutix-jfrr5x67/images/catalog/product/large/b7dc9ca7-dd0b-4fb6-956b-012cd6e11b09.jpg|Favo part en liv(r)e — Centre culturel Espace JOB|Centres culturels Toulouse / Secutix|Droits réservés — usage éditorial source lieu
E310||https://theatre-cite.com/assets/uploads/2026/05/ChristopheRAYNAUDDELAGE_240702_RdL_3120.jpg|Qui som? — Baro d'evel — ThéâtredelaCité|Théâtre de la Cité CDN (theatre-cite.com)|Droits réservés — usage éditorial source lieu
E395||https://www.cave-poesie.com/wp-content/uploads/2026/02/TENTATIVE-EPUISEMENT_web-menu.jpg|Tentative d'épuisement #1 — Cave Poésie René-Gouzenne|Cave Poésie René-Gouzenne (cave-poesie.com)|Droits réservés — usage éditorial source lieu
E381||https://www.theatredupontneuf.fr/wp-content/uploads/2026/05/LUsine.jpg|L'histoire incroyable… usine TU — Théâtre du Pont Neuf|Théâtre du Pont Neuf (theatredupontneuf.fr)|Droits réservés — usage éditorial source lieu
E640||https://theatredepochetoulouse.fr/wp-content/uploads/2026/07/2026-09-23.jpg|Patchwork — Théâtre de Poche|Théâtre de Poche (theatredepochetoulouse.fr)|Droits réservés — usage éditorial source lieu
E484||https://www.greniertheatre.org/wp-content/uploads/2026/04/Comme-ils-disent-Header.jpg|Comme ils Disent — Le Grenier Théâtre|Le Grenier Théâtre (greniertheatre.org)|Droits réservés — usage éditorial source lieu
E449||https://www.box.fr/media/cache/fiche/images/0389ddfc919a7f4750a626a165ddc0ffb34a127a.jpg|LA DAME DE PIERRE — Zénith Toulouse Métropole|box.fr / Symphonia Productions (billetterie)|Droits réservés — usage éditorial source lieu
E630||https://lescanotiers.fr/wp-content/uploads/2025/07/35c80dc8-9c4e-4d73-b48d-e10326da64ac.jpg|Les Canotiers — saison Quai de Tounis (terrasse et Pont Neuf)|Les Canotiers (lescanotiers.fr)|Droits réservés — usage éditorial source lieu
E633||https://lepetitlu-guinguette.fr/wp-content/uploads/2026/05/P1788526_14_11zon-scaled-1.webp|Le Petit L’U — saison guinguette L’Union|Le Petit L’U (lepetitlu-guinguette.fr)|Droits réservés — usage éditorial source lieu
E498||https://lepetitlu-guinguette.fr/wp-content/uploads/2026/05/P1788255_4_11zon-scaled-1.webp|Closing — Le Petit L’U (concert / saison L’Union)|Le Petit L’U (lepetitlu-guinguette.fr)|Droits réservés — usage éditorial source lieu
E392||https://www.cave-poesie.com/wp-content/uploads/2026/08/LESABL1.jpg|Autour de Jean-Pierre Le Goff — Le sablier polychrome — Cave Poésie René-Gouzenne|Cave Poésie René-Gouzenne (cave-poesie.com) — photo événement « Le sablier polychrome »|Droits réservés — usage éditorial source lieu
E345||https://image.jimcdn.com/app/cms/image/transf/none/path/sd986c7d1529c4b8d/image/i977abca5fe9de1bd/version/1784636850/image.jpg|François Bry Trio — ’Round 76 — Café-Théâtre Le 57 (18 sept. 2026)|Café-Théâtre Le 57 (le57.com / Jimdo)|Droits réservés — usage éditorial source lieu
