programme_id,event_id,lieu_id,nom_item,type_item,date,heure_debut,heure_fin,scene_salle,prix_item,url,notes,genre,artiste_id,description_item,image_url,billetterie_url,duree_min,public_cible,langue,scraped_at,film_id,form,moods,mood_source,mood_confiance,genres_mood
P1944,E694,L029,non scrapable auto (cookie wall hub),autre,2026-08-24,,,,,https://centresculturels.toulouse.fr/list/events,centresculturels.toulouse.fr exige cookies — skip auto,theatre_contemporain,,,,,,,,,,theatre,,pitch,basse,theatre|contemporain
P1942,E692,L030,Ateliers / pas de spectacle public daté,autre,2026-08-24,,,,,https://www2.mjcbalma.fr/,Secrétariat rouvert 01/09 ; ateliers dès 14/09 — pas de spectacle daté.,jeune_public,,,,,,,,,,enfants,tendre,pitch,haute,famille|jeunesse
P1943,E693,L031,Ateliers / pas de spectacle public daté,autre,2026-08-24,,,,,https://www.mjc-arts-blagnac.com/,Agenda ateliers/stages ; pas de spectacle public daté exploitable fenêtre.,jeune_public,,,,,,,,,,enfants,tendre,pitch,haute,famille|jeunesse
P1890,E670,L032,Aucune date dans la fenêtre 24/08–23/09,autre,2026-08-24,,,,,http://theatreducentre-colomiers.com/programmation-2025-2026/,saison publiée mais trou estival ; prochain = 23/05/2026,theatre_contemporain,,,,,,,,,,theatre,,pitch,basse,theatre|contemporain
P1950,E700,L033,Scrape https://www.ville-colomiers.fr/mon-quotidien/culture/les-equipements-cult,autre,2026-08-24,,,,,https://www.ville-colomiers.fr/mon-quotidien/culture/les-equipements-culturels/pavillon-bl,Scrape https://www.ville-colomiers.fr/mon-quotidien/culture/les-equipements-culturels/pavillon-bl : aucune date dans 24/08–23/09 ou hors saison / JS.,musique_autre,,,,,,,,,,autre,,vide,basse,
P1951,E701,L034,Scrape https://www.castanet-tolosan.fr/offre-culturelle/saison-culturelle/progra,autre,2026-08-24,,,,,https://www.castanet-tolosan.fr/offre-culturelle/saison-culturelle/programmation-culturell,Scrape https://www.castanet-tolosan.fr/offre-culturelle/saison-culturelle/programmation-culturell : aucune date dans 24/08–23/09 ou hors saison / JS.,musique_autre,,,,,,,,,,autre,,vide,basse,
P1502,E390,L042,EN BAL ET VOUS ! — Astor et la Patronne,spectacle,2026-08-24,20:30,,Cave Poésie,,https://www.cave-poesie.com/agenda/,,musique_autre,,"La compagnie Astor et la Patronne dépoussière le bal populaire : orchestre électrisé, danseuses, tubes revisités, boule à facettes. Des valses et tangos jusqu’à Aretha ou Blondie, un bal chorégraphié festif, intergénérationnel et inclusif, où le public est invité à entrer dans la danse.",,,,,,,,theatre,,pitch,basse,musique_autre|spectacle|classique|danse|musique
P1888,E668,L052,Aucune représentation Toulouse dans la fenêtre,autre,2026-08-24,,,,,https://www.theatreduchienblanc.fr/agenda/,Saison vide sur place 24/08–23/09/2026 — prochaines dates Toulouse hors période,theatre_classique,,,,,,,,,,theatre,,pitch,basse,theatre|classique
P1952,E702,L056,Scrape https://www.theatredupave.org/saison/ : aucune date dans 24/08–23/09 ou h,autre,2026-08-24,,,,,https://www.theatredupave.org/saison/,Scrape https://www.theatredupave.org/saison/ : aucune date dans 24/08–23/09 ou hors saison / JS.,musique_autre,,,,,,,,,,autre,,vide,basse,
P1889,E669,L058,Pas de programmation publique,autre,2026-08-24,,,,,https://www.theatre2lacte.com/,non scrapable : pas de dates ; lieu en litige,theatre_contemporain,,,,,,,,,,theatre,,pitch,basse,theatre|contemporain
P1953,E703,L061,Scrape https://www.casinosbarriere.com/fr/toulouse/spectacles.html : aucune date,autre,2026-08-24,,,,,https://www.casinosbarriere.com/fr/toulouse/spectacles.html,Scrape https://www.casinosbarriere.com/fr/toulouse/spectacles.html : aucune date dans 24/08–23/09 ou hors saison / JS.,musique_autre,,,,,,,,,,autre,,vide,basse,
P1954,E704,L062,Scrape https://odyssud.com/spectacles : aucune date dans 24/08–23/09 ou hors sai,autre,2026-08-24,,,,,https://odyssud.com/spectacles,Scrape https://odyssud.com/spectacles : aucune date dans 24/08–23/09 ou hors saison / JS.,musique_autre,,,,,,,,,,autre,,vide,basse,
P1955,E705,L070,Scrape https://onct.toulouse.fr/la-halle-aux-grains/programmation-halle-aux-grai,autre,2026-08-24,,,,,https://onct.toulouse.fr/la-halle-aux-grains/programmation-halle-aux-grains/,Scrape https://onct.toulouse.fr/la-halle-aux-grains/programmation-halle-aux-grains/ : aucune date dans 24/08–23/09 ou hors saison / JS.,musique_autre,,,,,,,,,,autre,,vide,basse,
P1928,E681,L074,Ateliers / pas de concert daté dans la fenêtre,autre,2026-08-24,,,,,https://samba-resille.org/site/,scrape site — concerts absents fenêtre,musiques_monde_trad,,,,,,,,,,concert,,pitch,basse,world|trad|concert
P1929,E682,L077,Aucune prog août/sept 2026 publiée,autre,2026-08-24,,,,,https://www.crous-toulouse.fr/sortir-bouger-creer/culture-sortir/mac/,scrape CROUS — trou estival,musique_autre,,,,,,,,,,concert,,pitch,basse,musique_autre|musique
P1956,E706,L080,Prog utile hors fenêtre stricte (Nougaro 25/09 ; Cabane 26–30/09) — déjà en BDD.,autre,2026-08-24,,,,,https://halles-cartoucherie.fr/la-cabane/,Prog utile hors fenêtre stricte (Nougaro 25/09 ; Cabane 26–30/09) — déjà en BDD.,musique_autre,,,,,,,,,,autre,,pitch,basse,musique_autre|musique
P1957,E707,L081,Prog utile hors fenêtre stricte (Nougaro 25/09 ; Cabane 26–30/09) — déjà en BDD.,autre,2026-08-24,,,,,https://www.sallenougaro.com/programmation/,Prog utile hors fenêtre stricte (Nougaro 25/09 ; Cabane 26–30/09) — déjà en BDD.,musique_autre,,,,,,,,,,autre,,pitch,basse,musique_autre|musique
P1925,E678,L084,Aucune date publiée dans la fenêtre,autre,2026-08-24,,,,,https://lephare-tournefeuille.com/,scrape site — saison vide fenêtre,musique_autre,,,,,,,,,,concert,,pitch,basse,musique_autre|musique
P1894,E048,L090,Racines — ouverture 7/7 Port Viguerie,autre,2026-08-24,12:00,00:00,,,https://racines-guinguette.fr/,Ouvert 7/7 12h–00h ; DJ non listés nominativement,guinguette_sorties,,,,,,,,,,concert,sortie,pitch,haute,guinguette
P1895,E049,L091,La Centrale — saison Île du Ramier,autre,2026-08-24,18:30,02:00,,,https://www.lacentralerestaurant.fr/,Brunch dim. ; CDM écrans ; concerts datés absents du site,guinguette_sorties,,,,,,,,,,concert,sortie,pitch,haute,guinguette
P1896,E047,L092,Candie — DJ jeu–sam / live mercredi (récurrent),dj,2026-08-24,17:00,01:00,,,https://lesjardinsdecandie.com/,Récurrent : live mer ; DJ jeu–sam ; Happy hour 17–19h,guinguette_sorties,A0255,,,,,,,,,concert,sortie,pitch,haute,guinguette|live|concert
P1958,E708,L094,Scrape https://odyssud.com/spectacles : aucune date dans 24/08–23/09 ou hors sai,autre,2026-08-24,,,,,https://odyssud.com/spectacles,Scrape https://odyssud.com/spectacles : aucune date dans 24/08–23/09 ou hors saison / JS.,musique_autre,,,,,,,,,,autre,,vide,basse,
P1897,E628,L095,Iris Guinguette — ouverture Jardin Michelet,autre,2026-08-24,,,,,https://iris-guinguette.vercel.app/,Ouvert tlj sauf lundi ; pas de lineup concerts,guinguette_sorties,,,,,,,,,,concert,sortie,pitch,haute,guinguette
P1920,E673,L096,non scrapable auto (Instagram),autre,2026-08-24,,,,,https://www.instagram.com/la_petanque_des_copains/,Skip scrape auto — consulter Instagram,guinguette_sorties,,,,,,,,,,concert,sortie,pitch,haute,guinguette
P1921,E674,L097,non scrapable auto (Instagram),autre,2026-08-24,,,,,https://www.instagram.com/guinguette_pompon/,Skip scrape auto — consulter Instagram,guinguette_sorties,,,,,,,,,,concert,sortie,pitch,haute,guinguette
P1898,E629,L098,Turbine Bazacle — terrasse / restaurant,autre,2026-08-24,11:00,00:00,,,https://turbine-bazacle.fr/,Aucun concert daté listé sur le site,guinguette_sorties,,,,,,,,,,concert,sortie,pitch,haute,guinguette|concert
P1922,E675,L099,non scrapable auto (Instagram),autre,2026-08-24,,,,,https://www.instagram.com/pecheurs_de_sable/,Skip scrape auto — consulter Instagram,guinguette_sorties,,,,,,,,,,concert,sortie,pitch,haute,guinguette
P1891,E630,L100,Les Canotiers — ouverture saison Quai de Tounis,autre,2026-08-24,18:00,00:00,,,https://lescanotiers.fr/,Mar–dim 18h–00h jusqu’au 30/09 ; pas de lineup concerts nominatif,guinguette_sorties,,,,,,,,,,concert,sortie,pitch,haute,guinguette
P1923,E676,L101,non scrapable auto (Instagram),autre,2026-08-24,,,,,https://www.instagram.com/legrosarbreguinguette/,Skip scrape auto — consulter Instagram,guinguette_sorties,,,,,,,,,,concert,sortie,pitch,haute,guinguette
P1892,E631,L102,Museau Musette — bistrot (pas de concerts datés),autre,2026-08-24,,,,,https://www.museaumusette.fr/,Site restauration uniquement — aucun concert listé,guinguette_sorties,,,,,,,,,,concert,sortie,pitch,haute,guinguette|concert
P1959,E709,L103,Scrape https://www.lesterrasses-toulouse.fr/ : aucune date dans 24/08–23/09 ou h,autre,2026-08-24,,,,,https://www.lesterrasses-toulouse.fr/,Scrape https://www.lesterrasses-toulouse.fr/ : aucune date dans 24/08–23/09 ou hors saison / JS.,musique_autre,,,,,,,,,,autre,,vide,basse,
P1893,E632,L104,Chez Molly — DJ / live / matchs (lineup non daté),autre,2026-08-24,17:00,,,,https://chezmollycoteguinguette.fr/,7j/7 dès 17h ; DJ set & live évoqués sans dates,guinguette_sorties,,,,,,,,,,concert,sortie,pitch,haute,guinguette|concert
P1960,E710,L105,Scrape https://linktr.ee/brasa.toulouse : aucune date dans 24/08–23/09 ou hors s,autre,2026-08-24,,,,,https://linktr.ee/brasa.toulouse,Scrape https://linktr.ee/brasa.toulouse : aucune date dans 24/08–23/09 ou hors saison / JS.,musique_autre,,,,,,,,,,autre,,vide,basse,
P1899,E633,L106,Le Petit L’U — saison jusqu’au closing,autre,2026-08-24,,,,,https://lepetitlu-guinguette.fr/,Saison jusqu’au 6/09 (closing 5/09),guinguette_sorties,,,,,,,,,,concert,sortie,pitch,haute,guinguette
P1918,E671,L107,Saison clôturée le 8 août 2026,autre,2026-08-24,,,,,https://www.guinguettetournefeuille.fr/agenda,Hors saison dans la fenêtre,guinguette_sorties,,,,,,,,,,concert,sortie,pitch,haute,guinguette
P1919,E672,L108,Saison terminée (closing 15/08),autre,2026-08-24,,,,,https://laguinguette-enlair.fr/,Hors saison dans la fenêtre,guinguette_sorties,,,,,,,,,,concert,sortie,pitch,haute,guinguette
P1900,E637,L110,Guinguette BBT — ouverture quotidienne,autre,2026-08-24,18:00,00:00,,,https://www.brasseur-toulousain.fr/la-guinguette-bbt/,Tous les jours 18h–00h,guinguette_sorties,,,,,,,,,,concert,sortie,pitch,haute,guinguette
P1924,E677,L111,non scrapable auto (Instagram),autre,2026-08-24,,,,,https://www.instagram.com/min_ou_toulouse/,Skip scrape auto — consulter Instagram,guinguette_sorties,,,,,,,,,,concert,sortie,pitch,haute,guinguette
P1961,E711,L120,Scrape https://circolido.fr/ : aucune date dans 24/08–23/09 ou hors saison / JS.,autre,2026-08-24,,,,,https://circolido.fr/,Scrape https://circolido.fr/ : aucune date dans 24/08–23/09 ou hors saison / JS.,musique_autre,,,,,,,,,,autre,,vide,basse,
P1962,E712,L122,Scrape https://conservatoire.toulouse.fr/agenda/ : aucune date dans 24/08–23/09 ,autre,2026-08-24,,,,,https://conservatoire.toulouse.fr/agenda/,Scrape https://conservatoire.toulouse.fr/agenda/ : aucune date dans 24/08–23/09 ou hors saison / JS.,musique_autre,,,,,,,,,,autre,,vide,basse,
P0271,E003,L125,Fjord,film,2026-08-24,13:30,,Borderouge,,https://toulouse.cinemas-utopia.org/film/?id=13457,image_url filled 2026-08-24,fiction,,"Les Gheorghiu, un couple roumano-norvégien très pieux, s’installent dans un village au bout d’un fjord. Lorsque le corps enseignant découvre des ecchymoses sur le corps d'un de leurs enfants, le village se demande si leur éducation traditionnelle pourrait en être la cause.",https://fr.web.img5.acsta.net/img/7d/a3/7da334b5a024f1960d11cefab25107bc.jpg,,,,,2026-08-24T15:57:08,F0003,cine,,pitch,basse,fiction|famille|rural|religion
P0272,E003,L125,La Fille Condor,film,2026-08-24,13:30,,Borderouge,,https://toulouse.cinemas-utopia.org/film/?id=13765,image_url filled 2026-08-24,fiction,,"Ana, accoucheuse traditionnelle quechua, et Clara, sa fille adoptive, exercent dans l’Altiplano bolivien, comme des générations de femmes avant la conquête. Un accouchement dans la pénombre ouvre ce film d’Alvaro Olmos Torrico, entre clairs-obscurs et transmission.",https://films.cinemas-utopia.org/wp-content/uploads/2026/07/Fille-Condor-COUV.jpg,,,,,2026-08-24T15:57:08,F0040,cine,,pitch,basse,fiction
P0273,E003,L125,Le Corset,film,2026-08-24,13:40,,Borderouge,,https://toulouse.cinemas-utopia.org/film/?id=13446,image_url filled 2026-08-24,fiction,,"C’est une merveille d’animation made in France. Louis Clichy évoque, réinventée, une part déterminante de son enfance : dans les années 1980, un fils d’agriculteurs, handicapé par une sévère scoliose, doit s’engoncer dans un lourd corset orthopédique. Beauté graphique, humour et tendresse.",https://films.cinemas-utopia.org/wp-content/uploads/2026/06/Corset-COUV.jpg,,,,,2026-08-24T15:57:08,F0109,cine,rigolo,pitch,haute,fiction|humour|animation
P0274,E003,L125,Jim Queen,film,2026-08-24,15:25,,Borderouge,,https://toulouse.cinemas-utopia.org/film/?id=13042,image_url filled 2026-08-24,fiction,,"Jim, icône sexy de la scène gay parisienne, voit sa vie basculer lorsqu’il contracte l’Hétérose, un étrange virus qui transforme les hommes gays… en hétérosexuels !",https://fr.web.img4.acsta.net/img/0b/24/0b2475fd5c509b222ed908d2ee8bb3c5.jpg,,,,,2026-08-24T15:57:08,F0036,cine,,pitch,basse,fiction
P0275,E003,L125,De la Comédie-Française,film,2026-08-24,15:35,,Borderouge,,https://toulouse.cinemas-utopia.org/film/?id=13449,image_url filled 2026-08-24,fiction,,"Dans 3 heures, Nina dévoile sa première mise en scène à la Comédie-Française. Mais dans l’agitation des dernières répétitions, rien ne se passe comme prévu : retards, coups de stress, problèmes techniques et problèmes d’égo secouent la troupe. Pourtant, Nina n’a pas d’autre choix que d’aller jusqu’au bout car s’il y a bien une règle d’or à la Comédie-Française, c’est qu’on n’annule pas. Commence alors une course contre la montre pour sauver la représentation.",https://fr.web.img2.acsta.net/img/9c/4d/9c4daa6e94f7107c83f7d732700c44a0.jpg,,,,,2026-08-24T15:57:08,F0011,cine,rigolo,pitch,haute,fiction|humour|comédie
P0276,E003,L125,Trafic,film,2026-08-24,16:15,,Borderouge,,https://toulouse.cinemas-utopia.org/film/?id=600,"cycle #7673, Dernière séance | image_url filled 2026-08-24",patrimoine_retro,,"Monsieur Hulot, dessinateur d’un camping-car expérimental, accompagne celui-ci sur les autoroutes de France et de Belgique en direction du salon de l’automobile d’Amsterdam où le modèle doit être exposé. Mais entre les nombreuses pannes, les problèmes mécaniques, la fouille à la douane, l’accident, la route est longue et semée d’embûches, qui mettent en péril la réussite commerciale de l’opération, menaçant Hulot et son camping car de ne pas arriver à temps pour l’ouverture du salon…",https://fr.web.img3.acsta.net/img/5a/ef/5aefddb74a6c57920e31cf12767d9e81.jpg,,,,,2026-08-24T15:57:08,F0182,cine,,pitch,basse,patrimoine|retro
P0277,E003,L125,Fjord,film,2026-08-24,17:05,,Borderouge,,https://toulouse.cinemas-utopia.org/film/?id=13457,image_url filled 2026-08-24,fiction,,"Les Gheorghiu, un couple roumano-norvégien très pieux, s’installent dans un village au bout d’un fjord. Lorsque le corps enseignant découvre des ecchymoses sur le corps d'un de leurs enfants, le village se demande si leur éducation traditionnelle pourrait en être la cause.",https://fr.web.img5.acsta.net/img/7d/a3/7da334b5a024f1960d11cefab25107bc.jpg,,,,,2026-08-24T15:57:08,F0003,cine,,pitch,basse,fiction|famille|rural|religion
P0278,E003,L125,La bataille de Gaulle – L’âge de fer,film,2026-08-24,17:05,,Borderouge,,https://toulouse.cinemas-utopia.org/film/?id=13251,image_url filled 2026-08-24,fiction,,"Juin 1940. La France s'effondre et signe l’armistice. Au milieu du chaos, un homme refuse de céder. Seul contre tous, ce général inconnu s'échappe vers Londres pour sauver ce qu'il reste d'un rêve : la liberté. Sans armée, sans appui, sans espoir. Mais avec une folle conviction : la France, sa France, n'a pas déposé les armes.",https://films.cinemas-utopia.org/wp-content/uploads/2026/05/Bataille-De-Gaulle-COUV.jpg,,,,,2026-08-24T15:57:08,F0033,cine,,pitch,basse,fiction|histoire|guerre
P0279,E003,L125,Backrooms,film,2026-08-24,18:05,,Borderouge,,https://toulouse.cinemas-utopia.org/film/?id=13774,Dernière séance | image_url filled 2026-08-24,animation_jeune_public,,"Un papier peint jaune décrépit, une moquette poisseuse, des néons qui grésillent — et ce lieu s’étend sur des milliers de kilomètres. Kane Parsons transpose les Backrooms, légende urbaine née sur internet, en allégorie du subconscient et de ses traumas. « Plein de promesses » (Télérama).",https://films.cinemas-utopia.org/wp-content/uploads/2026/07/Backrooms-COUV.jpg,,,,,2026-08-24T15:57:08,F0192,cine,,pitch,basse,animation|famille|jeunesse
P0280,E003,L125,L'Odyssée,film,2026-08-24,19:50,,Borderouge,,https://toulouse.cinemas-utopia.org/film/?id=13767,image_url filled 2026-08-24,fiction,,"L’Odyssée est une épopée mythique tournée à travers le monde qui suit le retour d'Ulysse vers Ithaque. Pour la première fois, la saga fondatrice d'Homère est portée sur les écrans de manière spectaculaire avec la toute dernière technologie IMAX.",https://fr.web.img6.acsta.net/img/a7/70/a770a3822c90a655af05961cda53f3a1.jpg,,,,,2026-08-24T15:57:08,F0002,cine,,pitch,basse,fiction|concert
P0281,E003,L125,La bataille de Gaulle – J’écris ton nom,film,2026-08-24,20:00,,Borderouge,,https://toulouse.cinemas-utopia.org/film/?id=13462,image_url filled 2026-08-24,fiction,,"Sans être une contre-histoire officielle, La Bataille de Gaulle : J’écris ton nom est au moins un contre-récit — le récit officiel de ces années de guerre ayant été gravé par les pragmatiques Américains, selon le réalisateur. Le vrai sujet, au fond, est moins de Gaulle lui-même que le roman collectif de la France républicaine, dont il est le dépositaire le plus emblématique.",https://films.cinemas-utopia.org/wp-content/uploads/2026/06/Bataille-de-Gaulle-J_ecris-ton-nom-COUV.jpg,,,,,2026-08-24T15:57:08,F0030,cine,,pitch,basse,fiction|historique|guerre|histoire
P0282,E003,L125,Notre salut,film,2026-08-24,20:10,,Borderouge,,https://toulouse.cinemas-utopia.org/film/?id=13456,image_url filled 2026-08-24,fiction,,"Septembre 1940, le régime de Pétain se met en place. Henri Marre, 49 ans, débarque à Vichy sans le sou, sans contact, loin de sa femme et ses enfants. Il voit dans la nouvelle administration l’opportunité de trouver enfin la place qu’il mérite. Dans sa valise, son traité politique édité à compte d’auteur, Notre Salut, où il défend ses convictions patriotiques et ses méthodes d'ingénieur. Son credo : « gagner en efficacité » pour relever la France de la débâcle. Mais peut-être qu’Henri cherche av",https://fr.web.img4.acsta.net/img/b7/ac/b7acc48dac20e8329866a199e0ff78e8.jpg,,,,,2026-08-24T15:57:08,F0079,cine,cerveau,pitch,haute,fiction|politique|famille|histoire
P0283,E003b,L126,La bataille de Gaulle – L’âge de fer,film,2026-08-24,14:30,,Tournefeuille,,https://toulouse.cinemas-utopia.org/film/?id=13251,image_url filled 2026-08-24,fiction,,"Juin 1940. La France s'effondre et signe l’armistice. Au milieu du chaos, un homme refuse de céder. Seul contre tous, ce général inconnu s'échappe vers Londres pour sauver ce qu'il reste d'un rêve : la liberté. Sans armée, sans appui, sans espoir. Mais avec une folle conviction : la France, sa France, n'a pas déposé les armes.",https://films.cinemas-utopia.org/wp-content/uploads/2026/05/Bataille-De-Gaulle-COUV.jpg,,,,,2026-08-24T15:57:08,F0033,cine,,pitch,basse,fiction|histoire|guerre
P0284,E003b,L126,L'Odyssée,film,2026-08-24,15:00,,Tournefeuille,,https://toulouse.cinemas-utopia.org/film/?id=13767,image_url filled 2026-08-24,fiction,,"L’Odyssée est une épopée mythique tournée à travers le monde qui suit le retour d'Ulysse vers Ithaque. Pour la première fois, la saga fondatrice d'Homère est portée sur les écrans de manière spectaculaire avec la toute dernière technologie IMAX.",https://fr.web.img6.acsta.net/img/a7/70/a770a3822c90a655af05961cda53f3a1.jpg,,,,,2026-08-24T15:57:08,F0002,cine,,pitch,basse,fiction|concert
P0285,E003b,L126,"Kayara, princesse Inca",film,2026-08-24,15:30,,Tournefeuille,,https://toulouse.cinemas-utopia.org/film/?id=13760,image_url filled 2026-08-24,animation_jeune_public,,"Dans l’Empire inca, Kayara, 16 ans, rêve de rejoindre les Chasquis, les légendaires messagers qui parcourent le royaume. Mais cette mission prestigieuse est réservée aux hommes…",https://fr.web.img4.acsta.net/img/8d/25/8d253a0a0ae870ed54287abc2a552bb4.jpeg,,,,,2026-08-24T15:57:08,F0056,cine,,pitch,basse,animation|famille|jeunesse|action
P0286,E003b,L126,Les Nouvelles aventures de Gros-Pois et Petit-point,film,2026-08-24,15:45,,Tournefeuille,,https://toulouse.cinemas-utopia.org/film/?id=5548,image_url filled 2026-08-24,animation_jeune_public,,"Ils sont craquants, inséparables, et avec eux tout est aventure : leur quotidien rime avec imagination. Gros-pois et Petit-point fouillent les placards, cuisinent, s’émerveillent au cirque devant les Frères Kaninis. Programme d’animation suédois dès 3 ans.",https://fr.web.img6.acsta.net/pictures/15/01/06/14/38/393337.jpg,,,,,2026-08-24T15:57:08,F0098,cine,,pitch,basse,animation|famille|jeunesse|cirque|aventure
P0287,E003b,L126,Soudain,film,2026-08-24,16:50,,Tournefeuille,,https://toulouse.cinemas-utopia.org/film/?id=13459,image_url filled 2026-08-24,fiction,,"Directrice d'un établissement pour personnes âgées, Marie-Lou tente d'y instaurer une philosophie de soins innovante basée sur l'écoute et la dignité des résidents. Sa rencontre avec Mari, une metteuse en scène japonaise qui se bat contre un cancer, va bouleverser sa trajectoire.",https://fr.web.img6.acsta.net/img/3e/42/3e425c3916d4f282734535c052079c8b.jpg,,,,,2026-08-24T15:57:08,F0009,cine,cerveau,pitch,haute,fiction|maladie
P0288,E003b,L126,Les Matins merveilleux,film,2026-08-24,17:10,,Tournefeuille,,https://toulouse.cinemas-utopia.org/film/?id=13722,image_url filled 2026-08-24,fiction,,"De vieux vinyles disco dans le coffre de sa Twingo, à peine remise de la mort de sa grand-mère, Charlie roule. Elle ne sait pas encore que ces disques ressusciteront les pas de danse de sa mère dans les yeux humides de Titou, caviste rêveur, ni qu’une plage méditerranéenne désertée sera le théâtre de sa rencontre avec Marina, qui rêve son idéal de liberté dans la pizzeria du village. Pour l’instant, elle roule.",https://fr.web.img5.acsta.net/img/c4/d7/c4d7a94755c795c00581abcbb45a2ee0.jpg,,,,,2026-08-24T15:57:08,F0028,cine,,pitch,basse,fiction|famille|danse|rural
P0289,E003b,L126,Fjord,film,2026-08-24,17:30,,Tournefeuille,,https://toulouse.cinemas-utopia.org/film/?id=13457,image_url filled 2026-08-24,fiction,,"Les Gheorghiu, un couple roumano-norvégien très pieux, s’installent dans un village au bout d’un fjord. Lorsque le corps enseignant découvre des ecchymoses sur le corps d'un de leurs enfants, le village se demande si leur éducation traditionnelle pourrait en être la cause.",https://fr.web.img5.acsta.net/img/7d/a3/7da334b5a024f1960d11cefab25107bc.jpg,,,,,2026-08-24T15:57:08,F0003,cine,,pitch,basse,fiction|famille|rural|religion
P0290,E003b,L126,De la Comédie-Française,film,2026-08-24,18:10,,Tournefeuille,,https://toulouse.cinemas-utopia.org/film/?id=13449,image_url filled 2026-08-24,fiction,,"Dans 3 heures, Nina dévoile sa première mise en scène à la Comédie-Française. Mais dans l’agitation des dernières répétitions, rien ne se passe comme prévu : retards, coups de stress, problèmes techniques et problèmes d’égo secouent la troupe. Pourtant, Nina n’a pas d’autre choix que d’aller jusqu’au bout car s’il y a bien une règle d’or à la Comédie-Française, c’est qu’on n’annule pas. Commence alors une course contre la montre pour sauver la représentation.",https://fr.web.img2.acsta.net/img/9c/4d/9c4daa6e94f7107c83f7d732700c44a0.jpg,,,,,2026-08-24T15:57:08,F0011,cine,rigolo,pitch,haute,fiction|humour|comédie
