lieu_id,nom,label_affiche,type,adresse,commune,dist_km_capitole,site_web,url_programmation,notes
L024,MJC Empalot,Toulouse — MJC Empalot,mjc,,Toulouse,3,https://mjcempalot.fr/,https://mjcempalot.fr/,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | scrape: pas de spectacle public daté 24/08–23/09
L025,MJC Pont des Demoiselles,Toulouse — MJC Pont des Demoiselles,mjc,,Toulouse,4,https://mjcpontdesdemoiselles.fr/,https://mjcpontdesdemoiselles.fr/,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | scrape: pas de spectacle public daté 24/08–23/09
L026,MJC Croix-Daurade,Toulouse — MJC Croix-Daurade,mjc,,Toulouse,5,http://www.mjccroixdaurade.fr/,https://www.mjccroixdaurade.fr/,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | scrape: pas de spectacle public daté 24/08–23/09
L027,MJC Jacques Prévert,Toulouse — MJC Jacques Prévert,mjc,,Toulouse,5,https://mjcprevert31.net/,https://mjcprevert31.net/,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation manquante | scrape: pas de spectacle public daté 24/08–23/09
L028,MJC Ancely,Toulouse — MJC Ancely,mjc,,Toulouse,5,https://www.mjcancely.fr/,https://www.mjcancely.fr/activites/,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation manquante | scrape: pas de spectacle public daté 24/08–23/09 | url_find 2026-09-01: upgrade (medium) — HTTPS 200. /activites/ catalogue officiel des ateliers. /agenda et /evenements = 404. Plaquette 2026-2027 PDF sur le site. Pas de page spectacles datés.
L029,Maison de quartier Lalande,Toulouse — Maison de quartier Lalande,maison_quartier,,Toulouse,5,https://metropole.toulouse.fr/annuaire/maison-de-quartier-lalande,https://centresculturels.toulouse.fr/list/events,"rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation manquante | url_programmation impossible: fiche annuaire métropole seulement, pas de page agenda dédiée | hub centresculturels cookie wall — non scrapable auto"
L030,MJC Balma,Balma — MJC Balma,mjc,,Balma,5,https://www2.mjcbalma.fr/,https://www2.mjcbalma.fr/,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | scrape: pas de spectacle public daté 24/08–23/09
L031,MJC des Arts de Blagnac,Blagnac — MJC des Arts de Blagnac,mjc,,Blagnac,7,https://www.mjc-arts-blagnac.com/,https://www.mjc-arts-blagnac.com/,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | scrape: pas de spectacle public daté 24/08–23/09
L032,Petit Théâtre du Centre,Colomiers — Petit Théâtre du Centre,theatre,,Colomiers,9,http://theatreducentre-colomiers.com/,http://theatreducentre-colomiers.com/programmation-2025-2026/,scraped_empty 24/08/2026 PT — saison 2025-2026 publiée mais aucune date dans 24/08–23/09 (dernier « prochainement » listé = 23/05/2026 ; trou estival). http://theatreducentre-colomiers.com/programmation-2025-2026/
L033,Pavillon blanc Henri-Molina,Colomiers — Pavillon blanc Henri-Molina,centre_culturel,,Colomiers,9,https://www.ville-colomiers.fr/mon-quotidien/culture/les-equipements-culturels/pavillon-blanc-henri-molina,https://www.ville-colomiers.fr/mon-quotidien/culture/les-equipements-culturels/pavillon-blanc-henri-molina,"rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation manquante | url_programmation impossible: fiche équipement ville Colomiers, pas de page programmation spectacles dédiée"
L034,Salle Jacques-Brel,Castanet-Tolosan — Salle Jacques-Brel,salle,,Castanet-Tolosan,11,https://castanet-tolosan.fr/,https://www.castanet-tolosan.fr/offre-culturelle/saison-culturelle/programmation-culturelle-524.html,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation manquante | url_programmation impossible: site castanet-tolosan.fr renvoie HTTP 403 depuis scrape; pas de page agenda spectacles isolée trouvée
L040,Théâtre du Capitole,Toulouse — Théâtre du Capitole,opera_theatre,Place du Capitole,Toulouse,0,https://opera.toulouse.fr/,https://opera.toulouse.fr/saison-2026-2027/,scrape 24/08/2026: OK | 2 pièces / 6 rép. | 2026-09-18 → 2026-10-04 | https://opera.toulouse.fr/ + agenda métropole Rusalka
L041,ThéâtredelaCité (CDN),Toulouse — ThéâtredelaCité (CDN),theatre,,Toulouse,0.5,https://theatre-cite.com/,https://theatre-cite.com/programmation/,scrape 24/08/2026: OK | 4 pièces / 13 rép. | 2026-09-19 → 2026-10-03 | https://theatre-cite.com/programmation/
L042,Cave Poésie René-Gouzenne,Toulouse — Cave Poésie René-Gouzenne,theatre,,Toulouse,0.3,https://www.cave-poesie.com/,https://www.cave-poesie.com/agenda/,scrape 24/08/2026: OK | 3 pièces / 6 rép. | 2026-09-08 → 2026-10-25 | https://www.cave-poesie.com/agenda/
L043,Pavillon Mazar,Toulouse — Pavillon Mazar,theatre,,Toulouse,0.5,https://www.groupemerci.net/,,"scrape 24/08/2026: bloque (DNS inexistant) | 0 pièces / 0 rép. | https://www.groupemerci.net/ | url_programmation impossible: Pavillon Mazar fermé depuis 2021 (éviction Groupe Merci); groupemerci.net DNS mort; groupemerci.com = archive historique, pas d’agenda spectacles | url_find 2026-08-24: impossible (high) — Éviction Groupe Merci mars 2021 (La Dépêche/Actu). groupemerci.net DNS mort; groupemerci.com/agenda = tournée compagnie hors lieu, pas d’agenda Pavillon Mazar. | url_find 2026-09-01: impossible (high) — Confirmé fermé : éviction Groupe Merci mars 2021 ; bâtiment encore vide en 2024 (Mediacités, Actu, La Dépêche). groupemerci.net DNS mort ; groupemerci.com = sit"
L044,Théâtre Sorano,Toulouse — Théâtre Sorano,theatre,,Toulouse,1,https://www.theatre-sorano.fr/,https://www.theatre-sorano.fr/la-saison/,scrape 24/08/2026: OK | 4 pièces / 10 rép. | 2026-09-11 → 2026-10-12 | https://www.theatre-sorano.fr/la-saison/
L045,Théâtre du Grand Rond,Toulouse — Théâtre du Grand Rond,theatre,,Toulouse,1,https://www.grand-rond.org/,https://www.grand-rond.org/programmation/,scrape 24/08/2026: OK (saison 26-27 non publiée; réouverture billetterie 26/08) | 1 pièces / 1 rép. | 2026-08-26 | https://www.grand-rond.org/
L046,Théâtre du Pont Neuf,Toulouse — Théâtre du Pont Neuf,theatre,,Toulouse,1,https://www.theatredupontneuf.fr/,https://www.theatredupontneuf.fr/spectacles26-27/,scrape 24/08/2026: OK | 2 pièces / 6 rép. | 2026-09-10 → 2026-09-25 | https://www.theatredupontneuf.fr/spectacles26-27/
L047,Théâtre Les 3 T,Toulouse — Théâtre Les 3 T,theatre,,Toulouse,1,https://new.3tcafetheatre.com/,https://new.3tcafetheatre.com/programmation/,"scrape 24/08/2026 PT: OK via new.3tcafetheatre.com (www.3tcafetheatre.com = Sucuri 403) | 28 spectacles / 48 rép. sept. 2026 | dates via fiches /spectacle/ (admin-ajax Sucuri 403) | url_find 2026-09-01: upgrade (high) — www.3tcafetheatre.com = Sucuri 307 (pas de suivi). new.3tcafetheatre.com/programmation/ HTTP 200, listing spectacles Toulouse 40 rue Gabriel Péri (saison 2026 visible)."
L048,La Comédie de Toulouse,Toulouse — La Comédie de Toulouse,theatre,,Toulouse,0.8,https://www.lacomediedetoulouse.com/,https://www.lacomediedetoulouse.com/fr/programmation/,scrape 24/08/2026: OK | 73 pièces / 104 rép. | 2026-09-17 → 2027-06-10 | https://www.lacomediedetoulouse.com/fr/programmation/
L049,Théâtre le Fil à Plomb,Toulouse — Théâtre le Fil à Plomb,theatre,,Toulouse,0.8,https://www.theatrelefilaplomb.fr/,https://www.theatrelefilaplomb.fr/programmation/,scrape 24/08/2026: OK | 32 pièces / 79 rép. | 2026-09-14 → 2026-12-31 | https://www.theatrelefilaplomb.fr/programmation/
L050,Théâtre Garonne,Toulouse — Théâtre Garonne,theatre,,Toulouse,1.5,https://www.theatregaronne.com/,https://www.theatregaronne.com/agenda/,scrape 24/08/2026: OK | 8 pièces / 33 rép. | 2026-09-12 → 2026-12-17 | https://www.theatregaronne.com/agenda/
L051,Théâtre le Vent des Signes,Toulouse — Théâtre le Vent des Signes,theatre,,Toulouse,1.5,https://www.leventdessignes.fr/,https://www.leventdessignes.fr/,"scrape 24/08/2026: OK partiel (site down au scrape; cache) | 1 pièces / 1 rép. | 2026-09-21 | https://www.leventdessignes.com/ (cache local vent2.html) | site down/inaccessible ; url_programmation manquante | url_find 2026-09-01: upgrade (high) — .com SSL cassé ; .com redirige vers .fr. Accueil .fr HTTP 200 = calendrier Saison 26/27 (Toulouse, 6 impasse Varsovie), ouverture 21/09/2026. Pas de sous-chemin /agenda."
L052,Théâtre du Chien Blanc,Toulouse — Théâtre du Chien Blanc,theatre,,Toulouse,1.5,https://www.theatreduchienblanc.fr/,https://www.theatreduchienblanc.fr/agenda/,scraped_empty 24/08/2026 PT — agenda OK mais aucune représentation à Toulouse dans 24/08–23/09/2026 (Novecento Toulouse jusqu’au 25/07 ; 14/08 Ardèche ; 20/09 festival Gers). https://www.theatreduchienblanc.fr/agenda/
L053,Café-théâtre Le 57,Toulouse — Café-théâtre Le 57,cafe_theatre,,Toulouse,1.5,https://www.le57toulouse.com/,https://www.le57.com/,scrape 24/08/2026: vide (aucune date unitaire publiée pour la fenêtre) | 0 pièces / 0 rép. |  | https://www.le57toulouse.com/
L054,Café-théâtre Les Minimes,Toulouse — Café-théâtre Les Minimes,cafe_theatre,,Toulouse,2,https://www.lesminimes.com/,,"scrape 24/08/2026: bloque (URL officielle redirige vers lacomedie.ca Montréal ; prog Toulouse non trouvée sur le web) | 0 pièces / 0 rép. | https://www.lesminimes.com/ (REDIRECT Montréal) | url_programmation impossible: lesminimes.com redirige vers lacomedie.ca (Montréal); aucune page prog café-théâtre Toulouse trouvée (BilletReduc = ancienne salle) | url_find 2026-08-24: impossible (high) — lesminimes.com redirige vers Théâtre La Comédie de Montréal (lacomedie.ca). BilletReduc = ancienne salle sans agenda actuel Toulouse. | url_find 2026-09-01: impossible (high) — lesminimes.com redirige vers lacomedie.ca (Théâtre La Comédie, Montréal). Annuaires/BilletReduc citent encore 6 rue Gélibert mais aucune page de programmation T"
L055,Théâtre de Poche,Toulouse — Théâtre de Poche,theatre,,Toulouse,2,https://theatredepochetoulouse.fr/,https://theatredepochetoulouse.fr/la-programmation-2/,scrape 24/08/2026 PT: OK — 11 spectacles / 13 rép. sept. 2026 (9–30/09) | https://theatredepochetoulouse.fr/la-programmation-2/septembre/ | rentrée visible hors fenêtre stricte incluse (24–30/09)
L056,Théâtre du Pavé,Toulouse — Théâtre du Pavé,theatre,,Toulouse,2.5,https://www.theatredupave.org/,https://www.theatredupave.org/saison/,scrape 24/08/2026: OK | 16 pièces / 16 rép. | 2026-09-29 → 2026-12-22 | https://www.theatredupave.org/saison/
L057,Nouveau Théâtre Jules Julien,Toulouse — Nouveau Théâtre Jules Julien,theatre,6 Avenue des Écoles Jules Julien,Toulouse,3,https://www.theatre-sorano.fr/,https://www.theatre-sorano.fr/la-saison/,scrape 24/08/2026: OK (programme festival Rassemblées réinjecté/enrichi) | 1 pièces / 12 rép. | 2026-08-27 → 2026-08-29 | https://www.theatre-sorano.fr/ (via Sorano / festival)
L058,Théâtre 2 l’Acte – Le Ring,Toulouse — Théâtre 2 l’Acte – Le Ring,theatre,,Toulouse,3,https://www.theatre2lacte.com/,https://www.theatre2lacte.com/,"scraped_empty 24/08/2026 PT — site OK mais pas de spectacle public daté ; compagnie en évacuation (conflit Lastiko/Neuf-Neuf, juil. 2026). https://www.theatre2lacte.com/"
L059,Théâtre de la Violette,Toulouse — Théâtre de la Violette,theatre,,Toulouse,4,https://www.theatredelaviolette.com/,https://www.theatredelaviolette.com/,scrape 24/08/2026: OK (réinjecté calendrier scrape antérieur du jour — parse HTML calendrier fragile) | 5 pièces / 52 rép. | 2026-08-26 → 2026-09-23 | https://www.theatredelaviolette.com/ (calendrier)
L060,Le Grenier Théâtre,Toulouse — Le Grenier Théâtre,theatre,,Toulouse,4,https://www.greniertheatre.org/,https://www.greniertheatre.org/,"scrape 24/08/2026 PT: OK — 4 pièces / 10 rép. sept. (Acteur, Demoiselles, Huis Clos, Comme ils Disent) + TOM 2–3/10 hors fenêtre | https://www.greniertheatre.org/les-spectacles/"
L061,Casino Théâtre Barrière,Toulouse — Casino Théâtre Barrière,theatre,,Toulouse,4,https://www.casinosbarriere.com/toulouse,https://www.casinosbarriere.com/fr/toulouse/spectacles.html,scrape 24/08/2026: OK partiel (site casino sans dates scrapables; billetterie 403; dates via JDS) | 2 pièces / 3 rép. | 2026-09-28 → 2026-09-30 | https://www.casinosbarriere.com/toulouse + JDS (billetterie officielle 403) | url_programmation manquante
L062,Odyssud,Blagnac — Odyssud,theatre,,Blagnac,7,https://odyssud.com/,https://odyssud.com/spectacles,scrape 24/08/2026: OK | 4 pièces / 8 rép. | 2026-09-24 → 2026-10-15 | https://odyssud.com/spectacles
L070,Halle aux Grains,Toulouse — Halle aux Grains,salle_concert,,Toulouse,1,https://onct.toulouse.fr/la-halle-aux-grains/,https://onct.toulouse.fr/la-halle-aux-grains/programmation-halle-aux-grains/,Programmation officielle scrapée 24/08/2026 — https://onct.toulouse.fr/la-halle-aux-grains/programmation-halle-aux-grains/ (28 concerts juin–déc 2026) | url_programmation ONCT fournie Eloi
L071,Chapelle des Carmélites,Toulouse — Chapelle des Carmélites,patrimoine_concert,1 Rue de Périgord,Toulouse,0.4,https://monuments.toulouse.fr/saison-musicale-toulouse/,https://monuments.toulouse.fr/saison-musicale-toulouse/,événements trouvés sur la période
L072,Auditorium Saint-Pierre des Cuisines,Toulouse — Auditorium Saint-Pierre des Cuisines,salle_concert,,Toulouse,0.5,,https://conservatoire.toulouse.fr/agenda/,via métropole / CRR ; accueille aussi Piano aux Jacobins ponctuellement | url_programmation impossible: pas de site propre (via métropole/CRR)
L073,Espace Croix-Baragnon,Toulouse — Espace Croix-Baragnon,centre_culturel,,Toulouse,0.6,,,"via cultures.toulouse.fr | pas de site — non scannable; rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation impossible: pas de site propre (via cultures.toulouse.fr) | url_find 2026-08-24: impossible (high) — Ancien centre culturel municipal disparu (Culture31). Bâtiment devenu La Résidence Baragnon (location privée/social club), plus de programmation spectacles publique. | url_find 2026-09-01: impossible (high) — Ancien centre culturel municipal disparu. Le 24 rue Croix-Baragnon est La Résidence Baragnon (location événementielle / social club, laresidencebaragnon.com), p"
L074,Samba Résille,Toulouse — Samba Résille,salle_asso,,Toulouse,0.8,https://www.samba-resille.org/,https://samba-resille.org/site/,rien trouvé période 24/08–23/09/2026 (scan site / agenda)
L075,Le Taquin,Toulouse — Le Taquin,salle_concert,,Toulouse,1,https://www.le-taquin.fr/,https://www.le-taquin.fr/concerts-a-venir/,"Scrape exhaustif https://www.le-taquin.fr/concerts-a-venir/ (WCS/Vue, 15 concerts 04–30/09/2026). Billetterie Festik ; tarifs souvent 11€/7€ sur fiches. Heures = horloge WCS (start/end wall-clock)."
L076,Le Rex,Toulouse — Le Rex,salle_concert,,Toulouse,1,https://www.lerextoulouse.com/,https://www.lerextoulouse.com/fr/programmation/,Programmation officielle scrapée 24/08/2026 — https://www.lerextoulouse.com/fr/programmation/ (sept 2026 → fév 2027)
L077,La MAC (CROUS),Toulouse — La MAC (CROUS),salle,,Toulouse,1,https://www.crous-toulouse.fr/sortir-bouger-creer/culture-sortir/mac/,https://www.crous-toulouse.fr/sortir-bouger-creer/culture-sortir/mac/,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation manquante
L078,Le Bijou,Toulouse — Le Bijou,salle_concert,,Toulouse,2.5,https://www.le-bijou.net/,https://www.le-bijou.net/programmation-lebijou,"événements trouvés sur la période | url_find 2026-09-01: upgrade (high) — Page « La Programmation » HTTP 200, concerts datés sept.–oct. 2026, 123 av. de Muret Toulouse."
L079,Zénith Toulouse Métropole,Toulouse — Zénith Toulouse Métropole,zenith,11 Avenue Raymond Badiou,Toulouse,3,https://zenith-toulousemetropole.com/,https://zenith-toulousemetropole.com/program,événements trouvés sur la période
L080,La Cabane (Cartoucherie),Toulouse — La Cabane (Cartoucherie),salle,,Toulouse,3,https://halles-cartoucherie.fr/la-cabane/,https://halles-cartoucherie.fr/la-cabane/,rien trouvé période 24/08–23/09/2026 (scan site / agenda)
L081,Salle Nougaro,Toulouse — Salle Nougaro,salle_concert,,Toulouse,3,https://www.sallenougaro.com/,https://www.sallenougaro.com/programmation/,événements trouvés sur la période / bordure
L082,Le Metronum,Toulouse — Le Metronum,smac,,Toulouse,4,https://lemetronum.fr/,https://lemetronum.fr/evenements/,"événements trouvés sur la période | url_find 2026-09-01: upgrade (high) — /evenements/ HTTP 200, agenda SMAC Borderouge filtrable (concerts dès sept. 2026). Accueil liste aussi les dates."
L083,Le Bikini,Ramonville-Saint-Agne — Le Bikini,salle_concert,"Parc Technologique du Canal, Rue Théodore Monod",Ramonville-Saint-Agne,8,https://lebikini.com/,https://lebikini.com/programmation,evenements trouves sur la periode
L084,Le Phare,Tournefeuille — Le Phare,salle_concert,,Tournefeuille,9,https://lephare-tournefeuille.com/,https://lephare-tournefeuille.com/,rien trouvé période 24/08–23/09/2026 (scan site / agenda)
L085,MEETT,Aussonne — MEETT,parc_exposition,Concorde Avenue,Aussonne,13,https://meett.fr/,https://meett.fr/agenda/,événements trouvés sur la période
L090,Racines (Port Viguerie),Toulouse — Racines (Port Viguerie),guinguette,Port Viguerie,Toulouse,1,https://racines-guinguette.fr/,https://racines-guinguette.fr/,scrape 2026-08-24 (site): ouvert 7/7 12h–00h (sunny days). Saison ouverte sans lineup daté (DJ non nominatif sur le site).
L091,La Centrale (Île du Ramier),Toulouse — La Centrale (Île du Ramier),guinguette,Île du Ramier,Toulouse,2.5,https://www.lacentralerestaurant.fr/,https://www.lacentralerestaurant.fr/,scrape 2026-08-24 (site): mar–dim soir + brunch dim. Coupe du Monde écrans. Saison ouverte sans concerts datés listés.
L092,Les Jardins de Candie,Toulouse — Les Jardins de Candie,guinguette,17 Chem. de la Saudrune,Toulouse,8,https://lesjardinsdecandie.com/,https://lesjardinsdecandie.com/,scrape 2026-08-24 (site): mar–sam midi/soir. DJ jeu–sam ; live mercredi. Saison ouverte — artistes jour J non listés nominativement.
L093,Le Petit Bikini,Ramonville-Saint-Agne — Le Petit Bikini,guinguette,Rue Théodore Monod,Ramonville-Saint-Agne,8,https://lebikini.com/,https://lebikini.com/programmation,événements trouvés sur la période
L094,Guinguette d’Odyssud,Blagnac — Guinguette d’Odyssud,guinguette,,Blagnac,7,https://odyssud.com/,https://odyssud.com/spectacles,rien trouvé période 24/08–23/09/2026 (scan site / agenda)
L095,Iris Guinguette (Jardin Michelet),Toulouse — Iris Guinguette (Jardin Michelet),guinguette,Jardin Michelet,Toulouse,1.5,https://iris-guinguette.vercel.app/,https://iris-guinguette.vercel.app/,"scrape 2026-08-24 (site Vercel): ouvert tous les jours sauf lundi, midi et soir. Cuisine grecque/médit. Saison ouverte sans lineup concerts sur le site (groupes éventuellement via Instagram hors périmètre LOT2)."
L096,La Pétanque des Copains,Toulouse — La Pétanque des Copains,guinguette,,Toulouse,1,,https://www.instagram.com/la_petanque_des_copains/,site non trouvé | rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation impossible: site non trouvé | url_find 2026-08-24: found (medium) — Pas de site web. Ouvertures/Pétanque Days annoncés uniquement via Instagram (Actu/L’Opinion). Dernier recours réseaux sociaux. | Instagram — non scrapable auto
L097,Pompon (péniche),Toulouse — Pompon (péniche),guinguette,,Toulouse,2.5,,https://www.instagram.com/guinguette_pompon/,site non trouvé | rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation impossible: site non trouvé | url_find 2026-08-24: found (medium) — Péniche Fénix Port Embouchure (2026). Pas de site propre; fiche Toulouse Tourisme sans URL. Instagram @guinguette_pompon pour DJ/événements. | Instagram — non scrapable auto
L098,Turbine Bazacle,Toulouse — Turbine Bazacle,guinguette,11 quai Saint-Pierre,Toulouse,1,https://turbine-bazacle.fr/,https://turbine-bazacle.fr/,"scrape 2026-08-24 (site): terrasse Espaces EDF Bazacle, restaurant/cocktails 11h–00h. Saison ouverte sans lineup concerts daté."
L099,Pêcheurs de sable,Toulouse — Pêcheurs de sable,guinguette,,Toulouse,0.8,,https://www.instagram.com/pecheurs_de_sable/,"site non trouvé | rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation impossible: site non trouvé | url_find 2026-08-24: found (low) — Guinguette Quai de la Daurade, pas de site web (Tourisme = téléphone/email seulement). Instagram @pecheurs_de_sable cité presse; pas d’agenda spectacles dédié. | Instagram — non scrapable auto"
L100,Les Canotiers,Toulouse — Les Canotiers,guinguette,Quai de Tounis,Toulouse,1,https://lescanotiers.fr/,https://lescanotiers.fr/,"scrape 2026-08-24 (site+contact): ouvert du 2 juin au 30 septembre 2026, mar–dim 18h–00h, Quai de Tounis. Accueil sans réservation. Saison ouverte sans lineup concerts."
L101,Le Gros Arbre,Toulouse — Le Gros Arbre,guinguette,,Toulouse,1.5,,https://www.instagram.com/legrosarbreguinguette/,site non trouvé | rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation impossible: site non trouvé | url_find 2026-08-24: found (low) — 110 rue des Amidonniers. Pas de site web trouvé (Tourisme/Petit Futé téléphone seulement). Diagonale cite Instagram/FB @LeGrosArbreGuinguette. | Instagram — non scrapable auto
L102,Museau Musette,Toulouse — Museau Musette,guinguette,,Toulouse,2,https://www.museaumusette.fr/,https://www.museaumusette.fr/,"scrape 2026-08-24 (site): bistrot Canal du Midi, lun–sam (cartes/menus/résa). Pas de page spectacles — saison ouverte sans lineup concerts."
L103,Les Terrasses de l’Atelier / Observatoire (Pech-David),Toulouse — Les Terrasses de l’Atelier / Observatoire (Pech-David),guinguette,,Toulouse,5,https://www.lesterrasses-toulouse.fr/,https://www.lesterrasses-toulouse.fr/,"site non trouvé | rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation impossible: site non trouvé | url_find 2026-08-24: found (high) — Site Les Terrasses (1 chemin des Étroits, DJ jeu–sam). Observatoire voisin: laguinguettedelobservatoire.com. Entrée BDD fusionne les deux lieux Pech-David."
